a1	阿啊呵腌吖錒
shan4	單善扇禪擅膳訕汕贍繕嬗撣騸剡苫鄯釤疝蟮鱔
shang1	上
shang3	上
shang4	上
shang5	上
shao1	燒稍梢捎鞘蛸筲艄
shao2	勺韶苕杓芍
shao3	少
shao4	少紹召稍哨邵捎潲劭
she1	奢賒猞畬
she2	折舌蛇佘
she3	舍
she4	社設舍涉射攝赦懾麝灄歙厙
shei2	誰
shen1	身深參申伸紳呻莘娠詵砷糝珅
shen2	什神
shen3	審沈嬸諗哂瀋矧
shen4	甚慎滲腎蜃葚胂椹
sheng1	生聲勝升牲甥笙
sheng2	繩澠
sheng3	省眚
sheng4	勝聖盛乘剩嵊晟
shi1	師詩失施屍濕獅噓虱蓍釃鯴
shi2	十時實什識食石拾蝕塒蒔炻鰣
shi3	使始史駛屎矢豕
shi4	是事世市士式視似示室勢試釋適氏飾逝誓嗜侍峙仕恃柿軾拭噬弒謚蒔貰鈰螫舐筮識
shi5	殖匙識
shou1	收
shou2	熟手首
shou3	手首守艏
shou4	受授售瘦壽獸狩綬
shu1	書輸殊舒叔疏抒淑梳樞蔬倏菽攄姝紓毹殳疋
shu2	熟孰贖塾秫
shu3	數屬署鼠薯暑蜀黍曙
shu4	數術樹述束豎恕墅漱俞戍庶澍沭腧
shua1	刷唰
shua3	耍
shua4	刷
shuai1	衰摔
shuai3	甩
shuai4	率帥蟀
shuan1	栓拴閂
shuan4	涮
shuang1	雙霜孀瀧
shuang3	爽
shui2	誰水
shui3	水
shui4	稅睡說
shun3	吮
shun4	順舜瞬
shuo1	說
shuo4	數朔碩爍鑠妁蒴槊搠
si1	思斯司私絲撕廝嘶鷥噝澌緦鍶螄
si3	死
si4	四似食寺肆伺飼嗣巳祀駟泗俟汜兕姒耜笥
si5	司思
song1	松忪淞崧嵩凇菘
song3	聳悚慫竦
song4	送宋誦頌訟
sou1	搜艘餿嗖溲颼鎪螋
sou3	擻叟藪嗾瞍
sou4	嗽擻
su1	蘇穌酥
su2	俗
su4	訴速素肅宿縮塑溯粟簌夙嗉謖僳愫涑蔌觫
suan1	酸狻
suan4	算蒜
sui1	雖尿荽睢眭濉
sui2	隨遂隋綏
sui3	髓
sui4	歲碎遂祟隧邃穗燧誶
sun1	孫蓀猻飧
sun3	損筍榫隼
suo1	縮莎梭嗦唆挲娑脧桫嗍蓑羧
suo2	所索
suo3	所索鎖瑣嗩
suo5	嗦
ta1	他她它踏塌遢溻鉈趿
ta3	塔鰨獺
ta4	踏拓榻嗒蹋沓撻闥漯遢
tai1	台胎苔
tai2	台擡苔邰薹駘炱跆鮐
tai3	呔
tai4	太態泰汰酞肽鈦
tan1	攤貪灘癱坍
tan2	談彈壇譚潭覃痰澹檀曇錟鐔郯
tan3	坦毯忐袒鉭
tan4	探嘆炭碳
tan5	彈
tang1	湯趟鐋鏜耥羰
tang2	堂唐糖膛塘棠搪溏螳瑭樘鏜螗餳醣
tang3	躺倘淌儻帑
tang4	趟燙
tao1	濤掏滔叨燾韜饕絳
tao2	逃陶桃淘萄啕洮鼗
tao3	討
tao4	套
te4	特忑忒慝鋱
tei1	忒
teng2	騰疼藤謄滕
ti1	筆
ti2	提題啼蹄醍綈緹鵜荑
ti3	筆
ti4	替涕剃惕屜嚏悌倜逖綈裼
tian1	天添
tian2	田填甜恬佃闐畋鈿嗔
tian3	腆舔忝殄
tian4	掭
tiao1	挑佻祧
tiao2	條調迢鰷苕髫齠蜩笤
tiao3	挑窕
tiao4	跳眺糶
tie1	貼帖萜
tie3	鐵帖
tie4	帖餮
ting1	聽廳汀烴
ting2	停庭亭婷廷霆蜓葶莛
ting3	挺艇町鋌梃
ting4	梃
tong1	通恫嗵
tong2	同童彤銅桐瞳佟酮侗仝垌茼峒潼砼硐
tong3	統筒桶捅侗
tong4	同通痛慟
tou1	偷
tou2	頭投骰
tou3	鈄
tou4	透
tu1	突禿凸
tu2	圖途徒屠塗荼菟酴凃
tu3	土吐釷
tu4	吐兔堍菟
tuan1	湍
tuan2	團摶
tuan3	疃
tuan4	彖
tui1	推忒
tui2	頹
tui3	腿
tui4	退褪蛻煺
tun1	吞暾
tun2	屯飩臀囤豚燉
tun3	氽
tun4	飩
tuo1	托脫拖乇
tuo2	陀舵駝砣馱沱跎坨鴕橐佗鉈酡柁鼉
tuo3	妥橢庹
tuo4	魄拓唾柝籜
wa1	挖哇凹媧蛙窪
wa2	娃瓦
wa3	瓦佤
wa4	瓦襪膃
wa5	哇娃
wai1	歪
wai3	崴
wai4	外
wan1	灣彎蜿剜豌灣
wan2	完玩頑丸紈芄烷碗婉
wan3	晚碗挽婉惋宛莞娩畹皖綰琬脘菀
wan4	萬腕蔓
wang1	汪
wang2	王亡芒往網
wang3	往網枉惘罔輞魍
wang4	望王往忘旺妄
wei1	威微危巍萎偎薇逶煨崴葳隈委
wei2	為維圍唯違韋惟帷幃圩囗濰桅嵬闈溈潿位薇
wei3	委偉唯尾瑋偽煒緯萎娓葦猥痿韙洧隗諉艉鮪
wei4	為位未味衛謂遺慰魏蔚畏胃喂尉渭猬軎
wen1	溫瘟
wen2	文聞紋蚊雯璺閿穩炆
wen3	穩吻紊刎
wen4	問紋汶璺紊搵
weng1	翁嗡
weng3	蓊
weng4	甕蕹
wo1	窩渦蝸喔倭撾萵
wo2	哦我
wo3	我
wo4	握臥渥沃斡幄肟硪齷
wu1	於惡屋污烏巫嗚誣兀鎢鄔圬
wu2	無亡吳吾捂毋梧唔蕪浯蜈五舞無
wu3	五武午舞伍侮捂嫵忤鵡牾迕廡憮仵
wu4	物務誤惡悟烏霧勿塢戊兀晤鶩痦寤騖芴杌焐阢婺鋈
xi1	西息希吸惜稀悉析夕犧臘昔熙兮溪嘻錫晰樨熄膝棲郗犀曦奚羲唏蹊淅皙汐嬉茜熹烯翕蟋歙浠僖穸蜥螅菥舾矽粞硒醯欷鼷
xi2	席習襲媳檄隰覡
xi3	喜洗禧徙璽屣葸蓰銑
xi4	系細戲隙餼鬩禊舄
xia1	瞎蝦呷
xia2	峽俠狹霞暇轄遐匣黠瑕狎硤柙
xia4	下
xian1	先鮮仙掀纖暹薟鍁氙祆秈酰躚
xian2	閒賢嫌鹹弦嫻銜涎舷鷴癇閑
xian3	顯險鮮洗跣獫蘚銑燹蜆筅冼癬
xian4	現見線限縣獻憲陷羨餡腺峴莧霰
xiang1	相香鄉箱廂湘鑲襄驤葙薌緗
xiang2	降詳祥翔庠想
xiang3	上
xiang4	相向象像項巷橡蟓
xiao1	消銷瀟肖蕭宵削囂逍硝霄哮梟驍簫枵嘵蛸綃魈銷
xiao2	淆崤小
xiao3	小曉筱
xiao4	笑校效肖孝嘯哮
xie1	些歇楔蠍
xie2	葉協鞋攜斜脅諧邪挾偕擷勰頡纈寫
xie3	寫血
xie4	寫解謝泄契械屑卸懈瀉褻蟹邂榭瀣薤燮躞廨紲渫榍獬
xin1	心新欣辛薪馨鑫芯昕忻歆鋅
xin2	尋鐔
xin4	信芯釁
xing1	興星腥惺猩
xing2	行形型刑邢陘滎餳硎
xing3	省醒擤
xing4	性興姓幸杏悻荇
xiong1	兄胸兇匈洶芎
xiong2	雄熊
xiu1	修休羞咻饈庥鵂貅髹貅
xiu3	宿朽
xiu4	秀袖宿臭繡銹嗅岫溴
xu1	需須虛籲噓墟戌胥砉圩盱頊虛
xu2	徐
xu3	許滸栩詡糈醑
xu4	續序緒蓄敘畜恤絮旭婿酗煦洫漵勖
xu5	蓿
xuan1	宣喧軒萱暄諼揎儇煊瑄
xuan2	旋懸玄漩璇痃選玹
xuan3	選癬
xuan4	旋券炫渲絢眩鉉泫碹楦鏇
xue1	削靴薛
xue2	學穴噱踅澩
xue3	雪鱈
xue4	血謔
xun1	熏勳葷醺薰塤曛窨獯
xun2	尋詢巡循旬馴荀峋洵恂郇潯鱘蕁
xun4	訓迅訊遜熏殉巽徇汛蕈浚
ya1	壓雅呀押鴉啞鴨丫埡椏
ya2	牙涯崖芽衙睚伢岈琊蚜
ya3	雅瘂疋啞
ya4	亞壓訝軋婭迓揠氬砑
ya5	呀
yan1	煙燕咽殷焉淹閹腌嫣胭湮閼鄢菸崦懨
yan2	言嚴研延沿顏炎閻鹽巖蜒檐妍筵芫閆阽眼
yan3	眼演掩衍奄儼偃魘鼴兗郾琰罨厴剡
yan4	驗厭燕宴咽雁焰艷諺彥研沿焱晏唁硯堰贗饜灩釅讞
yang1	央泱秧鴦殃鞅
yang2	洋陽楊揚羊瘍佯烊徉煬蛘養仰
yang3	養仰癢氧
yang4	樣漾恙烊怏鞅
yao1	要約邀腰夭妖吆幺麽
yao2	搖遙姚陶堯謠瑤窯肴僥銚珧軺爻徭繇鰩垚
yao3	咬杳窈舀崾
yao4	要藥耀鑰鷂曜瘧
ye1	耶噎椰掖
ye2	爺耶邪揶鋣也野
ye3	也野冶
ye4	業夜葉頁液咽曳拽燁掖腋謁鄴靨曄
yi1	一
yi2	一
yi3	以已衣尾椅矣乙蟻倚迤蛾旖苡釔艤酏
yi4	意義議易衣藝譯異益亦億憶誼抑翼役艾溢毅裔逸軼弈翌疫繹佚奕熠詣弋驛懿囈屹薏噫鎰縊邑臆刈羿仡嶧懌悒肄佾殪挹埸劓鐿瘞癔翊蜴嗌翳一
yin1	因音陰姻殷茵蔭喑湮氤堙洇銦
yin2	銀吟寅淫垠鄞霪狺夤圻齦飲引隱
yin3	引隱飲癮殷尹蚓吲
yin4	印飲蔭胤茚窨
ying1	應英鷹嬰櫻膺鶯罌鸚纓瑛瓔攖嚶
ying2	營迎贏盈蠅瑩熒螢縈瀛楹嬴塋瀅瀠滎鎣影盁
ying3	影穎潁癭郢
ying4	應硬映媵
yo1	育喲唷
yo5	喲
yong1	擁庸傭雍臃邕鏞墉慵癰壅鱅饔
yong2	喁勇永
yong3	永勇湧踴泳詠俑恿甬蛹
yong4	用傭
you1	優幽憂悠攸呦
you2	由遊油郵尤猶柚魷蕕尢鈾猷疣蚰蝣蝤繇蓧有友
you3	有友黝酉莠牖銪
you4	有又右幼誘佑柚囿鼬宥侑蚴釉祐
yu1	於籲迂淤紆瘀
yu2	於與余予魚愚輿娛愉餘逾漁渝俞萸瑜隅揄榆虞禺諛腴竽妤臾歟覦盂窬蝓崳狳舁雩於雨
yu3	雨與語予宇羽禹圄嶼齬傴圉庾瘐窳俁禺
yu4	與語育遇獄雨欲預玉愈谷域譽籲蔚寓豫粥郁喻裕浴禦馭尉諭毓嫗峪芋昱煜熨燠菀蕷飫閾鬻聿鈺鵒鷸蜮彧
yuan1	冤淵鴛眢鳶箢
yuan2	員元原園源圓緣援袁猿垣轅沅媛芫櫞圜塬爰螈黿遠
yuan3	遠
yuan4	院願怨苑媛掾垸瑗
yue1	約曰
yue4	月越閱躍樂悅岳粵說鑰刖瀹櫟樾龠鉞玥
yun1	暈氳
yun2	雲勻筠蕓耘紜昀鄖允
yun3	允隕殞狁
yun4	運均韻暈孕蘊醞慍熨鄆韞惲
za1	紮咂匝拶
za2	雜咱砸
za3	咋
zai1	災哉栽
zai3	載仔宰崽
zai4	在再載
zan1	簪糌
zan2	咱
zan3	攢拶昝趲
zan4	讚暫瓚鏨
zan5	咱
zang1	贓臧臟
zang3	駔
zang4	藏臟葬奘
zao1	遭糟
zao2	鑿早
zao3	早澡棗蚤藻
zao4	造竈躁噪皂燥唣
ze2	則責澤擇咋嘖迮幘賾笮簀舴
ze4	側仄昃
zei2	賊
zen3	怎
zen4	譖
zeng1	曾增憎繒罾
zeng4	贈繒甑鋥
zha1	查紮咋渣喳摣楂哳咤齇
zha2	炸紮劄喋軋閘鍘
zha3	眨砟
zha4	炸咋詐乍蠟柵榨柞咤咤痄蚱
zhai1	摘側齋
zhai2	宅翟擇窄
zhai3	窄
zhai4	債祭寨砦瘵
zhan1	占沾粘瞻詹氈譫旃
zhan3	展斬輾盞嶄搌
zhan4	戰站占顫綻湛蘸棧
zhang1	張章彰璋蟑樟漳嫜鄣獐
zhang3	長掌漲仉
zhang4	丈漲帳障賬脹仗杖瘴嶂幛
zhao1	著招朝嘲昭釗啁
zhao2	著著
zhao3	找爪沼
zhao4	照趙召罩兆肇詔棹笊
zhe1	折遮蜇
zhe2	折哲轍輒謫蟄摺磔蜇喆
zhe3	者褶鍺赭
zhe4	這浙蔗鷓柘
zhe5	著
zhei4	這
zhen1	真針珍斟貞偵甄臻箴砧楨溱蓁椹榛胗禎湞禛
zhen3	診枕疹縝畛軫稹
zhen4	陣鎮震圳振賑朕鴆
zheng1	正爭征丁掙癥睜徵蒸怔箏錚崢猙鉦鯖
zheng3	整拯
zheng4	政正證掙鄭癥怔錚諍幀
zhi1	之只知指支織氏枝汁擲芝吱肢脂蜘梔卮胝祗
zhi2	直指職值執植殖侄躑摭縶跖埴只紙
zhi3	只指紙止址旨徵趾咫芷枳祉軹黹酯
zhi4	知至制識治志致質智置秩滯幟稚摯擲峙窒炙痔櫛桎帙輊贄痣豸陟忮彘膣雉鷙騭蛭躓郅觶
zhong1	中終鐘忠衷鍾盅忪螽舯
zhong2	種
zhong3	種腫踵冢
zhong4	中種重眾仲
zhou1	周州洲粥舟謅啁
zhou2	軸妯碡
zhou3	肘帚
zhou4	皺驟軸宙咒晝胄紂縐葤籀繇酎
zhu1	諸朱珠豬株蛛洙誅銖茱邾瀦櫧櫫侏
zhu2	術逐築竹燭躅竺舳瘃主
zhu3	主屬煮囑矚拄褚渚麈
zhu4	住注助著駐祝築柱鑄佇貯箸炷蛀杼翥苧疰
zhua1	抓撾
zhua3	爪
zhuai1	拽
zhuai3	拽
zhuai4	拽
zhuan1	專磚顓
zhuan3	轉
zhuan4	傳轉賺撰沌篆囀饌
zhuang1	裝莊妝樁
zhuang3	奘
zhuang4	狀壯撞幢僮戇壵
zhui1	追錐隹椎騅
zhui4	墜綴贅惴縋
zhun1	屯諄肫窀
zhun3	準
zhuo1	桌捉卓拙涿焯倬
zhuo2	著著琢繳灼酌濁濯茁啄斫鐲諑禚擢浞卓
zi1	資咨滋仔姿吱茲孜諮呲齜錙輜淄髭貲孳粢趑觜訾緇鯔嵫
zi3	筆
zi4	自字漬恣眥
zong1	宗蹤綜棕鬃樅腙
zong3	總傯
zong4	縱粽
zou1	鄒諏陬鄹騶鯫
zou3	走
zou4	奏揍
zu1	租菹
zu2	組
zu3	組
zuan1	鉆躦
zuan3	纂纘
zuan4	賺鉆攥
zui1	堆
zui3	嘴咀觜
zui4	最罪醉蕞
zun1	尊遵樽鱒
zun3	撙
zuo1	作嘬
zuo2	作昨琢笮左
zuo3	左佐撮
zuo4	作做坐座怍胙阼唑祚
zi5	子
ge5	個歌
gu5	顧咕
biao2	表
sha2	啥
er5	兒
fan5	煩
tou5	頭
jing2	井
ji5	記計疾積
guo5	過
zhi5	置質制指脂
niao2	裊
xi5	息系
ying5	蠅盈
jing5	睛
liang5	量亮糧粱
mou3	某
shan2	閃
lang5	朗
fen5	分
xiong5	兄
bu5	不部
hou5	候侯
ben2	本
zong2	總
tai5	太
mou2	謀牟眸繆
lai5	來
niang5	娘
jian2	減柬
you5	友
guan2	管館
yue5	月
diao5	掉
wu5	物務
xing5	猩
bing5	病餅
ruo5	弱
mu2	畝母
zuo5	坐做
chui5	吹
yun5	暈
nve4	瘧虐
qie2	茄伽
zui2	嘴
rong5	溶
mei5	妹
kan5	看
kao2	考
he5	合
sheng5	生
yang5	鴦揚陽
cheng5	誠
lv2	驢櫚旅侶
dai5	袋待
jin2	緊
yao5	藥
wang5	望枉王
jiu2	九
jun3	菌
gei2	給
zheng2	整
nao5	鬧
gun2	滾
tong5	同筒
dian2	點典
gui2	鬼
bei2	北
tao5	桃
lia2	倆
yi5	一
shen5	神
ling5	齡
weng5	嗡
qi5	氣
qin5	親
nai2	奶
heng5	哼
nv2	女
ju5	矩
ye5	爺
mian5	面
rou5	柔
qia5	恰
pie2	撇
guang2	廣
ka2	卡
ken2	懇
si2	死
dang2	黨
yu5	育裕
wo5	窩
deng2	等
fa5	發
po5	婆
kong2	孔
zhen2	診
gai2	改
pin5	頻
wan5	玩
jiang2	講獎
nai5	奶耐
mu5	目
shun5	順
ne4	訥吶
dao5	到
nuan2	暖
piao5	飄
su5	訴
nang5	囊
long5	嚨
zhu5	住
pian5	片
yong5	用
ou2	偶
hu5	乎
zou2	走
bai5	白
zhang2	長
bang2	榜
zhan2	展
huo5	活火
tie2	鐵
du5	度
zhuan2	轉
chou5	酬
gan5	桿
sou5	嗽
hai5	害
jiong2	炯
jiu5	舅
duo5	朵
o1	噢喔
niu1	妞
sai5	噻
pou2	錇
